epoch,loss,lr,val_loss
0,8.32461166381836,0.0010204081,41.5625114440918
1,4.663502216339111,0.001,59.18309783935547
2,3.5534863471984863,0.00098,48.018070220947266
3,3.0907154083251953,0.0009604,60.73787307739258
4,2.8254332542419434,0.000941192,4.040812015533447
5,2.6393496990203857,0.00092236814,65.23076629638672
6,2.4976398944854736,0.0009039208,2.7953152656555176
7,2.3699214458465576,0.00088584237,71.99693298339844
8,2.2631776332855225,0.0008681255,3.6103930473327637
9,2.1858952045440674,0.000850763,2.6066181659698486
10,2.1048336029052734,0.00083374773,2.945780038833618
11,2.03791880607605,0.0008170728,70.60149383544922
12,1.9664626121520996,0.00080073136,3.4968016147613525
13,1.9050711393356323,0.00078471674,93.69352722167969
14,1.8493518829345703,0.0007690224,89.81745147705078
15,1.7998214960098267,0.00075364194,2.4526047706604004
16,1.7531358003616333,0.0007385691,4.248680114746094
17,1.710141897201538,0.0007237977,95.45921325683594
18,1.6581251621246338,0.00070932176,103.28852844238281
19,1.6151642799377441,0.0006951353,104.8446273803711
20,1.584518551826477,0.0006812326,2.387967109680176
21,1.528243899345398,0.000667608,2.361865282058716
22,1.5021531581878662,0.0006542558,3.5329132080078125
23,1.4552083015441895,0.0006411707,2.5739598274230957
24,1.4241187572479248,0.0006283473,102.845947265625
